cs/0203019v1,2002-03-14T03:44:18Z,GridSim: A Toolkit for the Modeling and Simulation of Distributed   Resource Management and Scheduling for Grid Computing,Manzur Murshed,cs.DC,http://arxiv.org/pdf/cs/0203019v1
cs/0203020v1,2002-03-14T03:50:19Z,A Deadline and Budget Constrained Cost-Time Optimisation Algorithm for   Scheduling Task Farming Applications on Global Grids,Manzur Murshed,cs.DC,http://arxiv.org/pdf/cs/0203020v1
cs/0204048v1,2002-04-22T20:06:42Z,Economic-based Distributed Resource Management and Scheduling for Grid   Computing,Rajkumar Buyya,cs.DC,http://arxiv.org/pdf/cs/0204048v1
cs/0205021v1,2002-05-14T19:22:00Z,An Overview of a Grid Architecture for Scientific Computing,O. Smirnova,cs.DC,http://arxiv.org/pdf/cs/0205021v1
cs/0205023v2,2002-05-14T19:55:37Z,Performance evaluation of the GridFTP within the NorduGrid project,A. Waananen,cs.DC,http://arxiv.org/pdf/cs/0205023v2
cs/0206038v1,2002-06-24T18:28:21Z,A Multilevel Approach to Topology-Aware Collective Operations in   Computational Grids,E. Lusk,cs.DC,http://arxiv.org/pdf/cs/0206038v1
cs/0206040v2,2002-06-25T19:55:45Z,MPICH-G2: A Grid-Enabled Implementation of the Message Passing Interface,I. Foster,cs.DC,http://arxiv.org/pdf/cs/0206040v2
cs/0207036v1,2002-07-10T00:53:23Z,"System Description for a Scalable, Fault-Tolerant, Distributed Garbage   Collector",T. Terriberry,cs.DC,http://arxiv.org/pdf/cs/0207036v1
cs/0207096v1,2002-07-29T16:20:25Z,Noncontiguous I/O through PVFS,William Gropp,cs.DC,http://arxiv.org/pdf/cs/0207096v1
cs/0208021v1,2002-08-14T09:11:20Z,Implicit Simulations using Messaging Protocols,G. A. Kohring,cs.DC,http://arxiv.org/pdf/cs/0208021v1
cs/0208027v1,2002-08-19T19:09:04Z,A Unified Theory of Shared Memory Consistency,Gary J. Nutt,cs.DC,http://arxiv.org/pdf/cs/0208027v1
cs/0210002v1,2002-10-01T10:41:52Z,GridBank: A Grid Accounting Services Architecture (GASA) for Distributed   Systems Sharing and Integration,Alexander Barmouta Rajkumar Buyya,cs.DC,http://arxiv.org/pdf/cs/0210002v1
cs/0301033v1,2003-01-28T20:11:16Z,Computational Grids in Action: The Natinal Fusion Collaboratory,D. McCune,cs.DC,http://arxiv.org/pdf/cs/0301033v1
cs/0301035v1,2003-01-31T01:21:21Z,On the Complexity of Buffer Allocation in Message Passing Systems,Alan Wagner,cs.DC,http://arxiv.org/pdf/cs/0301035v1
cs/0302006v1,2003-02-06T03:31:02Z,Grid Market Directory: A Web Services based Grid Service Publication   Directory,Rajkumar Buyya,cs.DC,http://arxiv.org/pdf/cs/0302006v1
cs/0302007v1,2003-02-06T03:36:29Z,G-Monitor: Gridbus web portal for monitoring and steering application   execution on global grids,Rajkumar Buyya,cs.DC,http://arxiv.org/pdf/cs/0302007v1
cs/0302008v1,2003-02-06T04:06:02Z,Visual Environment for Rapid Composition of Parameter-Sweep Applications   for Distributed Processing on Global Grids,Rajkumar Buyya,cs.DC,http://arxiv.org/pdf/cs/0302008v1
cs/0302018v1,2003-02-13T04:49:26Z,Guided Google: A Meta Search Engine and its Implementation using the   Google Distributed Web Services,Rajkumar Buyya,cs.DC,http://arxiv.org/pdf/cs/0302018v1
cs/0302019v1,2003-02-13T04:53:10Z,Economic and On Demand Brain Activity Analysis on Global Grids,D. Abramson,cs.DC,http://arxiv.org/pdf/cs/0302019v1
cs/0303005v1,2003-03-08T17:15:00Z,Fair Solution to the Reader-Writer-Problem with Semaphores only,H. Ballhausen,cs.DC,http://arxiv.org/pdf/cs/0303005v1
cs/0304037v1,2003-04-23T20:36:09Z,Using Regression Techniques to Predict Large Data Transfers,Jennifer M. Schopf,cs.DC,http://arxiv.org/pdf/cs/0304037v1
cs/0305050v2,2003-05-28T16:25:45Z,Towards automation of computing fabrics using tools from the fabric   management workpackage of the EU DataGrid project,Olof Barring,cs.DC,http://arxiv.org/pdf/cs/0305050v2
cs/0305058v2,2003-05-30T09:18:55Z,ATLAS and CMS applications on the WorldGrid testbed,L. Vaccarossa,cs.DC,http://arxiv.org/pdf/cs/0305058v2
cs/0305059v1,2003-05-30T10:07:12Z,EU DataGRID testbed management and support at CERN,M. W. Schulz,cs.DC,http://arxiv.org/pdf/cs/0305059v1
cs/0305061v1,2003-05-30T11:42:37Z,A Secure Infrastructure For System Console and Reset Access,Markus Schulz,cs.DC,http://arxiv.org/pdf/cs/0305061v1
cs/0305062v2,2003-05-30T11:48:57Z,DIAMOnDS - DIstributed Agents for MObile & Dynamic Services,Harvey Newman,cs.DC,http://arxiv.org/pdf/cs/0305062v2
cs/0305063v2,2003-05-30T19:53:14Z,McRunjob: A High Energy Physics Workflow Planner for Grid Production   Processing,Iain Bertram,cs.DC,http://arxiv.org/pdf/cs/0305063v2
cs/0305065v1,2003-05-30T17:43:03Z,A Generic Multi-node State Monitoring Subsystem,Rainer Bartoldus,cs.DC,http://arxiv.org/pdf/cs/0305065v1
cs/0305066v2,2003-05-30T19:45:44Z,The CMS Integration Grid Testbed,Todd Tannenbaum,cs.DC,http://arxiv.org/pdf/cs/0305066v2
cs/0306001v2,2003-05-30T20:25:50Z,Clarens Client and Server Applications,Frank van Lingen,cs.DC,http://arxiv.org/pdf/cs/0306001v2
cs/0306002v2,2003-05-30T20:34:05Z,The Clarens web services architecture,Frank van Lingen,cs.DC,http://arxiv.org/pdf/cs/0306002v2
cs/0306003v2,2003-05-30T20:39:27Z,R-GMA: First results after deployment,Xiaomei Zhu,cs.DC,http://arxiv.org/pdf/cs/0306003v2
